departure_city,arrival_city,departure_station,arrival_station,travel_time,departure_coordinates,arrival_coordinates
Dijon,Venarey-les-Laumes,Dijon,Les Laumes - Alésia,28,"47.3234110,5.02725600","47.5430540,4.46260200"
Venarey-les-Laumes,Montbard,Les Laumes - Alésia,Montbard,8,"47.5430540,4.46260200","47.6187410,4.33621200"
Montbard,Nuits,Montbard,Nuits sous Ravières,9,"47.6187410,4.33621200","47.7293070,4.21170900"
Nuits,Tonnerre,Nuits sous Ravières,Tonnerre,14,"47.7293070,4.21170900","47.8593800,3.97355000"
Tonnerre,Vergigny,Tonnerre,Saint-Florentin - Vergigny,12,"47.8593800,3.97355000","47.9810580,3.73103600"
Vergigny,Migennes,Saint-Florentin - Vergigny,Laroche - Migennes,9,"47.9810580,3.73103600","47.9609980,3.51319100"
Migennes,Joigny,Laroche - Migennes,Joigny,6,"47.9609980,3.51319100","47.9738550,3.39299700"
Joigny,Sens,Joigny,Sens,16,"47.9738550,3.39299700","48.1978560,3.26783300"
Sens,Paris,Sens,Paris Bercy Bourg. Pays d'Auv.,74,"48.1978560,3.26783300","48.8392150,2.38279100"
Mâcon,Tournus,Mâcon,Tournus,17,"46.3025720,4.82488700","46.5667240,4.90656200"
Tournus,Chalon-sur-Saône,Tournus,Chalon-sur-Saône,13,"46.5667240,4.90656200","46.7816220,4.84347900"
Chalon-sur-Saône,Chagny,Chalon-sur-Saône,Chagny,9,"46.7816220,4.84347900","46.9074240,4.74961300"
Chagny,Beaune,Chagny,Beaune,8,"46.9074240,4.74961300","47.0230140,4.84842300"
Beaune,Dijon,Beaune,Dijon,20,"47.0230140,4.84842300","47.3234110,5.02725600"
Sens,Paris,Sens,Paris Gare de Lyon Hall 1 - 2,56,"48.1978560,3.26783300","48.8449450,2.37348100"
Lyon,Lyon,Lyon Perrache,Lyon Part Dieu,8,"45.7485080,4.82577700","45.7605960,4.85940900"
Lyon,Saint-Germain-au-Mont-d'Or,Lyon Part Dieu,Saint-Germain-au-Mont-d'Or,12,"45.7605960,4.85940900","45.8884310,4.80420600"
Saint-Germain-au-Mont-d'Or,Villefranche-sur-Saône,Saint-Germain-au-Mont-d'Or,Villefranche-sur-Saône,8,"45.8884310,4.80420600","45.9844820,4.72079800"
Villefranche-sur-Saône,Belleville-en-Beaujolais,Villefranche-sur-Saône,Belleville sur Sâone,7,"45.9844820,4.72079800","46.1119520,4.72901100"
Belleville-en-Beaujolais,Mâcon,Belleville sur Sâone,Mâcon,14,"46.1119520,4.72901100","46.3025720,4.82488700"
Paris,Sens,Paris Bercy Bourg. Pays d'Auv.,Sens,55,"48.8392150,2.38279100","48.1978560,3.26783300"
Sens,Joigny,Sens,Joigny,16,"48.1978560,3.26783300","47.9738550,3.39299700"
Joigny,Migennes,Joigny,Laroche - Migennes,7,"47.9738550,3.39299700","47.9609980,3.51319100"
Migennes,Vergigny,Laroche - Migennes,Saint-Florentin - Vergigny,9,"47.9609980,3.51319100","47.9810580,3.73103600"
Vergigny,Tonnerre,Saint-Florentin - Vergigny,Tonnerre,11,"47.9810580,3.73103600","47.8593800,3.97355000"
Tonnerre,Nuits,Tonnerre,Nuits sous Ravières,14,"47.8593800,3.97355000","47.7293070,4.21170900"
